Sloka,Prose
karṇavanti hi bhūtāni viśeṣeṇa turaṅgamāḥyūyaṃ tasmānnivartadhvaṃ yācanāṃ prativeditāḥ,bhūtāni karṇavanti hi turaṅgamāḥ viśeṣeṇa tasmāt yācanām prativeditāḥ yūyam nivartadhvam
jaṭāyuṣo yadi bhrātā śrutaṃ te gaditaṃ mayāākhyā hi yadi jānāsi nilayaṃ tasya rakṣasaḥ,te gaditam mayā śrutam jaṭāyuṣaḥ bhrātā yadi jānāsi yadi tasya rakṣasaḥ nilayam ākhyāhi
sakṛttupraharedānīṃdurbhuddhe kiṃvikatthase tatastvāṃmāmikāmuṣṭirnayiṣyatiyamakṣayam,durbhuddhe kiṃvikatthase idānīm sakṛt prahara tataḥ māmikaḥ muṣṭiḥ tvām yamakṣayam nayiṣyati
athopakāryāṃ jagmuste sabhāryā raghunandanā:rājā'pyanuyayau paśyaṃtsarṣisaṃgha ssabāndhava:,atha raghunandanā: sabhāryā: upakāryāṃ jagmu: rājāpi sarṣisaṃgha: sabāndhava: paśyan anuyayau
yadi pañcadaśe varṣe rāghavaḥ punareṣyatijahyādrājyaṃ ca koṣaṃ ca bharato nopalakṣayate,rāghavaḥ pañcadaśe varṣe punaḥ eṣyati yadi bharataḥ rājyaṃ ca koṣaṃ ca jahyāt nopalakṣyate
tau jātāśvāsau rājaputrau viditvā taccābhijñānaṃ rāghavāya pradāyadevyā cākhyātaṃ sarvamevānupūrvyādvācā sampūrṇaṃ vāyuputtra śśaśaṃsa,vāyuputraḥ tau rājaputtrau jātāśvāsau viditvā tat abhijñānam rāghavāya pradāya devyā ākhyātam sarvameva sampūrṇam ānupūrvyāt vācā śaśaṃsa
prītaste'haṃ naraśreṣṭha kariṣyāmi tava priyamśirasā dhārayiṣyāmi śailarājasutāmaham,naraśreṣṭha aham te prīta: tava priyam kariṣyāmi aham śailarājasutām śirasā dhārayiṣyāmi
pulastyasya tu tejasvī maharṣirmānasaḥ sutaḥnāmnā sa viśravā nāma prajāpatisamaprabhaḥ,nāmnā viśravā nāma prajāpatisamaprabhaḥ tejasvī saḥ maharṣiḥ pulastyasya mānasaḥ sutaḥ
tenājayyena mukhyena rāghaveṇa mahātmanāśape te jīvanārheṇa brūhi yanmanasecchāsi,ajayyena mukhyena jīvanārheṇa mahātmanā tena rāghaveṇa śape manasā yat icchasi brūhi
tataḥ kṛtvā mahānādaṃ sā vai laṅkā bhayāvahamtalena vānaraśreṣṭhaṃ tāḍayāmāsa vegitā,tataḥ sā laṅkā bhayāvaham mahānādam kṛtvā vegitā vānaraśreṣṭham talena tāḍayāmāsa
vartamānetadāghoresaṅgrāmebhṛśadāruṇe indrajitturathaṃtyaktvāhatāśvohatasārathiḥ aṅgadenamahāmāyastatraivāntaradhīyata,tadā ghore bhṛśadāruṇe saṅgrāme aṅgadena hatāśvaḥ hatasārathiḥ mahāmāyaḥ indrajittu tatsraiva antaradhīyata
tasmaidṛḍhatanuḥkruddhohatāśvāyavibhīṣaṇaḥ vajrasparśasamān pañcasasarjorasisāyakān,dṛḍhatanuḥ vibhīṣaṇaḥ hatāśvāya tasmai kruddhaḥ urasi vajrasparśamān pañca sāyakān sasarja
maṇiratnaṃ suvarṇaṃ vā gāvo yadvā samudyatamtatprayaccha naraśreṣṭha dharaṇyā na prayojanam,naraśreṣṭha maṇiratnam suvarṇaṃ vā gāva: yadvā samudyatam tat prayaccha dharaṇyā prayojanaṃ na
vibhīṣaṇo'pidharmātmāsahatairnairṛtarṣabhaiḥ labdhvākuladhanaṃrājālaṅkāṃprāyān mahāyaśāḥ,dharmātmā mahāyaśāḥ rājā vibhīṣaṇaḥ kuladhanam labdhvā taiḥ nairṛtarṣabhaiḥ laṅkām prāyāt
nihatasya mayā saṅkhye śarasaṃkṛttamarmaṇaḥsaphenaṃ rudhiraṃ raktaṃ medinī kasya pāsyati,mayā saṅkhye nihatasya śarasaṃkṛttamarmaṇaḥ kasya saphenam raktam rudhiram medinī pāsyati
yadidaṃ lokavidviṣṭamudāharatha saṅgatāḥ naitanmanasi vākyaṃ me kilbiṣaṃ pratibhāti vaḥ,saṅgatāḥ lokavidviṣṭam yat idam me vākyam udāharatha etat vaḥ manasi kilbiṣam na pratibhāti
tatsubhīmaṃmahāyuddhaṃharirākṣasasaṅkulam prababhauśabdabahulaṃśilāpādapasaṅkulam,subhīmam harirākṣasasaṅkulam śilāpādamasaṅkulam śabdabahulam mahat tat yuddham prababhau
sa putrān sampariṣvajyabhūṣayitvā ca bhūṣaṇaiḥ āśīrbhiścapraśastābhiḥpreṣayāmāsasamyuge,saḥ putrān sampariṣvajya bhūṣaṇaiḥ bhūṣayitvā ca praśastābhiḥ āśīrbhiḥ samyuge preṣayāmāsa
śaratkālaṃ pratīkṣiṣye sthito'smi vacane tavasugrīvasya nadīnāṃ ca prasādamanupālayan,sugrīvasya nadīnāṃ ca prasādam anupālayan śaratkālam pratīkṣiṣye tava vacane sthitaḥ asmi
paśyanniva ca tāṃ sītāmapaśyanmadanārditaḥuvāca rāghavo vākyaṃ vilāpāśrayadurvacam,madanārditaḥ rāghavaḥ tām sītām apaśyan paśyanniva vilāpāśrayadurvacam vākyam uvāca
hīnavīryamivāśaktaṃpauruṣeṇavivarjitam bhīruṃlaghumivāsattvaṃvihīnamivatejasā vimuktamivamāyābhirastrairivabahiṣkṛtam māmavajñāyadurbuddhesvayābuddhyāviceṣṭase,durbuddhe aśaktam pauruṣeya vivarjitam hīnavīryamiva bhīrum asattvam laghumiva tejasā vihīnamiva māyābhiḥ vimumiva astrai: bahiṣkṛtam iva mām avajñāya svayā buddhyā viceṣṭase
sa vṛddhastaruṇīṃ bhāryāṃ prāṇebhyopi garīyasīm apāpaḥ pāpasaṅkalpāṃ dadarśa dharaṇītalelatāmiva viniṣkṛttāṃ patitāṃ devatāmiva kinnarīmiva nirdhūtāṃ cyutāmapsarasaṃ yathāmāyāmiva paribhraṣṭāṃ hariṇīmiva saṃyatām,vṛddha: apāpa: sa: taruṇīm prāṇebhyo'pi garīyasīm pāpasaṅkalpām viniṣkṛttām latāmiva patitām devatāmiva nirdhūtām kinnarīmiva cyutām apsarasaṃ yathā paribhraṣṭām māyāmiva saṃyatām hariṇīmiva bhāryām dadarśa
vicālayeyuśśailendrānbhedayeyussthirāndrumānkṣobhayeyuśca vegena samudraṃ saritāṃ patim,śailendrān vicālayeyu: sthirān drumān bhedayeyu: vegena saritāṃ patim samudram kṣobhayeyu:
tasya lāṅgūlamāviddhamāttavegasya pṛṣṭhataḥdadṛśe garuḍeneva hriyamāṇo mahoragaḥ,āttavegasya tasya pṛṣṭhataḥ aviddham lāṅgūlam garuḍena hriyamāṇaḥ mahoragaḥ iva dadṛśe
samyak pratigṛhītaśca muninā tena rāghavaḥnyavasattāṃ niśāmekāṃ prāśya mūlaphalāni ca,rāghavaḥ tena muninā samyak pratigṛhītaḥ mūlaphalāni prāśya tām ekām niśām nyavasat
samāvṛtya mahīṃ kṛtsnāṃ jagāma mahatī camūḥ tehṛṣṭavadanā ssarve jagmurmārutaraṃhasaḥ,mahatī camūḥ kṛtsnām mahīm samāvṛtya jagāma mārutaraṃhasaḥ te sarve hṛṣṭavadanāḥ jagmu
guhāśca vicitāssarvāstvayā yāḥ parikīrtitāḥvicitāśca mahāgulmā latāvitatasantatāḥ,sarvāḥ tvayā parikīrtitāḥ yāḥ guhāḥ vicitāḥ latāvitatasantatāḥ mahāgulmāḥ vicitāḥ
pracacālacavegenatrastācaivavasundharā pīḍyamānābalaughenatenasāgaravarcasā,sāgaravarcasā tena balaughena pīḍyamānā vasundharā vegena trastā pracacāla
ayodhyādhipate vīra vaideho mithilādhipa: sa tvāṃ draṣṭuṃ vyavasitassopādhyāyapurohitam,vīra ayodhyādhipate mithilādhipa: vaideha: sopādhyāyapurohitam tvām draṣṭum saḥ vyavasita:
tatra devāssagandharvāssiddhāśca paramarṣayaḥdṛṣṭvā laṅkāṃ pradagdhāṃ tāṃ vismayaṃ paramaṃ gatāḥ,tatra sagandharvāḥ devāḥ siddhāśca paramarṣayaḥ dagdhām tāṃ laṅkām purīm dṛṣṭvā paramam vismayam gatāḥ
nīlajīmūtasaṅkāśo mahābhujaśirodharaḥsiṃhasattvagatiḥ śrīmān dīpta jihvāgralocanaḥ,nīlajīmūtasaṅkāśaḥ mahābhujaśirodharaḥ siṃhasattvagatiḥ śrīmān dīptajihvāgralocanaḥ
yudhyasvayadiśūro'sirāvaṇātmajadurmate vāyuputraṃsamāsādya na jīvan pratiyāsyasi,durmate rāvaṇātmaja śūraḥ asiyadi yudhyasva vāyuputram samāsādya jīvan na pratiyāsyasi
sāgarahradasaṅkāśātsumantro'ntaḥpurācchubhāt niṣkramya janasambādhaṃ dadarśa dvāramagrataḥ,sumantraḥ sāgarahradasaṅkāśāt śubhāt antaḥpurāt niṣkramya agrataḥ janasambādham dvāram dadarśa
paścimenaturāmasyasuṣeṇaḥsahajāmbavān ādūrānmadhyamegulmetasthaubahubalānugaḥ,suṣeṇaḥ sahajāmbavān bahubalānugaḥ rāmasya paścimena adūrāt madhyamegulme tasthau
tavadūtāmahārājakṣipramarhantyavekṣitum upapradānaṃsāntvaṃvābhedovātraprayujyatām,mahārāja: tava: dūtāḥ kṣipram avekṣitum arhanti: upapradānam sāntvaṃvā: bhedovā: atraprayujyatām
mahotpātānimānsarvānutthitānghoradarśanān na cintayāmyahaṃ vīryādbalavāndurbalāniva,utthitān ghoradarśanān imān mahotpātān sarvān aham vīryāt balavān durbalāniva na cintayāmi
yasyavikramamāṇasyaśakrasyevaparākramaḥ eṣagandharvakanyāyāmutpannaḥkṛṣṇavartmanaḥ tadādevāsureyuddhesāhyārthaṃtridivaukasām,vikramamāṇasya: yasya: parākramaḥ śakrasyeva: eṣaḥ gandharvakanyām kṛṣṇavartmanā: tadā: devāsureyuddhe: tridivaukasām sāhvārtham utpannaḥ
terāvaṇavadhaṃdṛṣṭavādevagandharvadānavāḥ jagmussvaisvairvimānaistekathayantaśśubhāḥkathāḥ,te devagandharvadānavāḥ rāvaṇavadham dṛṣṭavā te śubhāḥ kathāḥ kathayantaḥ svaiḥsvaiḥ vimānaiḥ jagmuḥ
prāspoṭayaṃśca pucchāni sannijagmu: padānyapi bhujāvanikṣipya śailāṃśca drumānanye babhañjire,pucchāni prāspoṭayan padāni sannijagmu: api anye bhujān vikṣipya śailāṃśca drumān babhañjire
śārdūla yadi sā dṛṣṭā priyā candranibhānanāmaithilī mama visrabdhaṃ kathayasva na te bhayam,śārdūla candranibhānanā priyā sā maithilī dṛṣṭā yadi visrabdham mama kathayasva te bhayam na
paśyatāṃvānarendrāṇāṃrāghavasyāpipaśyataḥ darśanādrākṣasendrasyasugrīvassahasotthitaḥ,sugrīvaḥ rākṣasendrasya darśanāt vānarendrāṇām paśyatām rāghavasyāpi paśyataḥ sahasā utthitaḥ
viditau nau guṇā vidvaṃtsugrīvasya mahātmanaḥtameva cā'vāṃ mārgāvassugrīvaṃ plavageśvaram,vidvan mahātmanaḥ sugrīvasya guṇāḥ nau viditau avām lpavageśvaram tameva mārgāvaḥ
rājasūyāśvamedhaiśca vahniryenābhitarpitaḥdakṣiṇāśca tathotsṛṣṭā gāvaśśatasahasraśaḥ tapasā satyavākyena vasudhā yena pālitāstrī hetostasya putro'yaṃ rāmastvāṃ śaraṇaṃ gataḥ,yena rājasūyāśvamedhaiśca vahniḥ abhitarpitaḥ tathā śatasahasraśaḥ gāvaḥ dakṣiṇāḥ utsṛṣṭāḥ yena tapasā satyavākyena vasudhā pālitā tasya putraḥ ayaṃ rāmaḥ strī hetoḥ śaraṇam samāgataḥ
mahārhakṣaumasaṃvītaṃ raktacandanarūṣitamsvānuliptaṃ vicitrābhirvividhābhiśca bhaktibhiḥ,mahārhakṣaumasaṃvītam raktacandanarūṣitam vicitrābhiḥ vividhābhiśca bhaktibhiḥ svānuliptam
tasmānmātā pitā ceti rāma sajjeta yo naraḥunmatta iva sa jñeyo nāsti kaściddhi kasyacit,rāma tasmāt yaḥ naraḥ mātā pitā ceti sajjeta saḥ unmatta iva saḥ jñeyaḥ kaścit kasya cit nāsti hi
suketorapi dharmātmā devarāto mahābala:devarātasya rājarṣerbṛhadratha iti smṛta:,suketo: api dharmātmā mahābala: devarāta: rājarṣe: devarātasya bṛhadratha iti smṛta:
na ca me bhavitā tatra kaścitpathi pariśramaḥpṛṣṭhatastava gacchantyā vihāraśayaneṣviva,tava pṛṣṭhataḥ gacchantyāḥ me tatra pathi vihāraśayaneṣviva kaścit pariśramaḥ na bhavitā
suramyamāsādya tu citrakūṭaṃ nadīṃ ca tāṃ mālyavatīṃ sutīrthāmnananda hṛṣṭo mṛgapakṣijuṣṭāṃ jahau ca dukhaṃ puravipravāsāt,suramyam citrakūṭam āsādya sutīrthām mṛgapakṣijuṣṭām tām mālyavatīṃ nadīṃ ca hṛṣṭa: nananda puravipravāsāt dukham jahau ca
tenaviddhāścaharayonihatāścagatāsavaḥ babhūvuḥśataśastatrapatitādharaṇītale,tena viddhāḥ harayaḥ nihatāḥ gatāsavaḥ śataśaḥ tatra dharaṇītale patitāḥ babhūvuḥ
sā ca kāmaiḥ pralobhyantī bhakṣyai:bhojyaiśca maithilīnabhokṣyati mahābhāgā duḥkhe magnā yaśasvinī,mahābhāgā yaśasvinī duḥkhe magnā na bhokṣyati sā ca kāmaiḥ pralobhyantī bhakṣyai: bhojyaiśca maithilī
tāṃrātrimuṣitāstatrasuveleharipuṅgavāḥ laṅkāyāṃdadṛśurvīrāvanānyupavanānica,vīrāḥ haripuṅgavāḥ tatra suvele tām rātrim uṣitāḥ laṅkāyām vanāni upavanānica dadṛśaḥ
kratulyaparākrāntaṃ vṛṣṭavevoparataṃ ghanamnardantaṃ nardatāṃ bhīmaṃ śūraṃ śūreṇa pātitam śārdūlenāmiṣasyārthe mṛgarājaṃ yathāhatam,śakratulyaparākrāntam vṛṣṭavā uparatam ghanam iva nardantam nardatām bhīmam śūram śūreṇa pātitam āmiṣasyārthe śārdūlena āhatam mṛgarājaṃ yathā
ahaṃ tāta yathākālamāmiṣārthī khamāplutaḥmahendrasya girerdvāramāvṛtya susamāsthitaḥ,tāta aham āmiṣārthī yathākālam mahendrasya gireḥ dvāram āvṛtya susamāsthitaḥ
sā śrutvā vacanaṃ tasya kṛtvā rūpamanuttamamlobhayāmāsa lalitā viśvāmitraṃ śucismitā,sā tasya vacanam śrutvā anuttamam rūpam kṛtvā lalitā śucismitā viśvāmitram lobhayāmāsa
evaṃ vilapamānasya duḥkhārtasya mahātmanaḥmohācca śokasamrodhādbabhūva lulitaṃ manaḥ,evam vilapamānasya duḥkhārtasya mahātmanaḥ manaḥ mohācca śokasamrodhāt lulitam babhūva
sa vānarān saptaśatānivīraḥprāsenadīptenanviirbibheda ekaḥkṣaṇenendraripurmahātmājaghānasainyaṃharipuṅgavānām,vīraḥ mahātmā saḥ ekaḥ dīptena prāsena kṣaṇena saptaśatāni vānarān vanirbibheda indraripuḥ haripuṅgavānām sainyam jaghāna
prasīda devi rāmometvaddattaṃ rājyamavyam labhatāmasitāpāṅge yaśaḥ paramavāpnu hi,devi prasīda rāmaḥ tvaddattam me rājyam labhatām asitāpāṅge param yaśaḥ avāpnuhi
tasyacchidrāṇimārgasvasvacchidrāṇicalakṣya cakṣuṣādhanuṣāyatnā prakṣātmānaṃsamāhitaḥ,tasya chidrāṇi mārgasva svacchidrāṇi lakṣya samāhitaḥ cakṣuṣā dhanuṣā yatnā ātmānam
kosalo nāma muditassphīto janapado mahān niviṣṭassarayūtīre prabhūtadhanadhānyavān,prabhūtadhanadhānyavān mudita: sphīta: kosalo nāma mahān janapada: sarayūtīre niviṣṭa:
pūrvameva mayā sṛṣṭo jāmbavānṛkṣapuṅgava:jṛmbhamāṇasya sahasā mama vaktrādajāyata,jāmbavān ṛkṣapuṅgava: pūrvameva mayā sṛṣṭa: jṛmbhamāṇasya mama vaktrāt sahasā ajāyata
vibhīṣaṇavacśrutvārāvaṇiḥkrodhamūrchitaḥ abravītparuṣaṃvākyaṃvegenābhyutpapāta ca,vibhīṣaṇavacaḥ śrutvā rāvaṇiḥ krodhamūrchitaḥ paruṣam vākyam abravīt vegena abhyutpapāta ca
sa samṛddhāṃ mayā sārdhamayodhyāṃ gaccha rāghavaabhiṣecayacātmānaṃ kulasyāsya bhavāya naḥ,rāghava saḥ mayā sārdham samṛddhām ayodhyām gaccha naḥ asya kulasya bhavāya ātmānam abhiṣecaya
samutpatitameghasya vīcimālākulasya ca viśeṣo na dvayorāsītsāgarasyāmbarasya ca,samutpatitameghasya sāgarasya vīcimālākulasya ambarasya dvayoḥ viśeṣaḥ nāsīt
sa sutai: kṛtagodānairvṛtastu nṛpatistadālokapālairivābhāti vṛta: ssaumya: prajāpati:,kṛtagodānai: sutai: vṛta: sa: nṛpati: tadā lokapālai: vṛta: saumya: prajāpatiriva ābhāti
nadyassamudvāhitacakravākāstaṭāni śīrṇānyapavāhayitvādṛptā navaprābhṛtapūrṇabhogāḥ drutaṃ svabhartāramupopayānti,samudvāhitacakravākāḥ dṛptāḥ nadyaḥ śīrṇāni taṭāni apavāhayitvā navaprābhṛtapūrṇabhogāḥ svabhartāram drutam upopayānti
bhartuḥ kila parityāgo nṛśaṃsaḥ kevalaṃ striyāḥsa bhavatyā na kartavyo manasā'pi vigarhitaḥ,striyāḥ bhartuḥ parityāgaḥ kevalam nṛśaṃsaḥ kila vigarhitaḥ saḥ bhavatyā manasāpi na kartavyaḥ
yajñīyaṃ ca kṛtaṃ rājan puruṣaissusamāhitai:niryātu ca bhavānyaṣṭuṃ yajñāyatanamantikāt,rājan susamāhitai: puruṣai: yajñīyam kṛtam bhavān yaṣṭum antikāt yajñāyatanam niryātu
sa pūrayankhaṃ ca mahīṃ ca sācalāṃ turaṅgamātaṅgamahārathasvanaiḥbalaissametaissahi toraṇasthitaṃ samarthamāsīnamupāgamatkapim,saḥ turaṅgamātaṅgamahārathasvanaiḥ khaṃ ca sācalām mahīṃ ca pūrayan sametaiḥ balaiḥ saha toraṇasthitam samartham āsīnam mahākapim upāgamat
chatraṃtasya ca jagrāhaśatraghnaḥpāṇḍuraṃśubham śvetaṃ ca vālavyajanaṃsugrīvovānareśvaraḥ aparaṃcandrasaṅkāśaṃrākṣasendrovibhīṣaṇaḥ,śatrughnaḥ tasya pāṇḍuram śubham chatram jagrāha vānareśvaraḥ sugrīvaḥ śvetam vālavyajanam rākṣasendraḥ vibhīṣaṇaḥ candrasaṅkāśam aparaṃca
tato nālīkanārācaistīkṣṇāgraiśca vikarṇibhiḥājaghāna kharo rāmaṃ totrairiva mahādvipam,tataḥ kharaḥ nālīkanārācaiḥ tīkṣṇāgraiḥ vikarṇibhiḥ rāmam totraiḥ mahādvipamiva ājaghāna
tata: prītamanāstena viśvastassa mahākapi: kiṣkindhāṃ rāmasahito jagāma ca guhāṃ tadā,tata: tena prītamanā: sa mahākapi: viśvasta: ca rāmasahita: tadā guhām kiṣkindhām jagāma
yamasya vā māṃ viṣayaṃ gatāmitoniśāmya kubje prativedayiṣyasivanaṃ gate vā sucirāya rāghavesamṛddhakāmo bharato bhaviṣyati,kubje niśāmya mām ita: yamasya viṣayam gatām prativedayiṣyasi vā rāghave vanam gate bharata: samṛddhakāma: bhaviṣyati vā
yathā tvayā kṛtaṃ karma bhīruṇā lokagarhitam taskarācarito mārgo naiva vīraniṣevitaḥ,bhīruṇā tvayā yathā lokagarhitam karma kṛtam taskarācaritaḥ mārgaḥ vīraniṣevitaḥ naiva
hemapuṣkarasañchannaṃ tasmin vaikhānasaṃ saraḥtaruṇādityasaṅkāśairhaṃsairvicaritaṃ śubhaiḥ,tatra hemapuṣkarasañchannam taruṇādityasaṅkāśaiḥ śubhaiḥ haṃsaiḥ vicaritam vaikhānasam saraḥ
evamuktā tu dharmajñairvānaraistaissvayaṃprabhā pratyuvāca tatassarvānidaṃ vānarapuṅgavān,taiḥ vānaraiḥ evam uktāḥ dharmajñauḥ svayaṃprabhā tataḥ sarvān vānarapuṅgavān idam pratyuvāca
daridrāya dvijāyātha hastābharaṇamuttamamkasmaicidyācamānāya dadau rāghavanandana:,atha rāghavanandana: yācamānāya kasmaicit daridrāya dvijāya uttamam hastābharaṇam dadau
tadidaṃ na vibhātyadya vihīnaṃ tena dhīmatāvyomeva śaśinā hīnamapcchuṣka iva sāgaraḥ,dhīmatā tena vihīnam tat idam adya śaśinā hīnam vyomeva apcchuṣkaḥ sāgaraḥ iva na vibhāti
prahastamvadhīnnīlaḥkumbhakarṇaṃturāghavaḥ lakṣmaṇorāvaṇasutaṃsvayaṃrāmasturāvaṇam,nīlaḥ prahastam avadhīt rāghavaḥ rāmaḥ kumbhakarṇam rāvaṇam svayam lakṣmaṇaḥ rāvaṇasutam
sa lambaśikhare lambe lambatoyadasannibhesattvamāsthāya medhāvī hanumān mārutātmajaḥ niśi laṅkāṃ mahāsattvo viveśa kapikuñjaraḥramyakānanatoyāḍhyāṃ purīṃ rāvaṇapālitām,medhāvī mārutātmajaḥ mahāsattvaḥ kapikuñjaraḥ saḥ hanumān lambaśikhare lambatoyadasannibhe lambe sattvam āsthāya ramyakānanatoyāḍhyām rāvaṇapālitām laṅkāṃ purīm niśi viveśa
dūto'hamiti vijñeyo rāghavasyāmitaujasaḥśrūyatāṃ cāpi vacanaṃ mama pathyamidaṃ prabho,aham amitaujasaḥ rāghavasya dūtaḥ iti vijñeyaḥ prabho pathyam idam mama vacanam śrūyatāṃ cāpi
punarevāṅgadaḥ prāha tānharīnharisattamaḥsarve balavatāṃ śreṣṭhā bhavanto dṛḍhavikramāḥ vyapadeśya kule jātāḥ pūjitāścāpyabhīkṣṇaśaḥ,harisattamaḥ aṅgadaḥ tān harīn punareva prāha bhavantaḥ sarve balavatām śreṣṭhāḥ dṛḍhavikramāḥ vyapadeśakule jātāḥ abhīkṣṇaśaḥ pūjitāśca
vyūḍhenevasughoreṇapūrvadvārātsaniryayau gajayūthanikāśenabalenamahatāvṛtaḥ,saḥ vyūḍheneva sughoreṇa gajayūthanikāśena mahatā balena vṛtaḥ pūrvadvārāt niryayau
rākṣaso'sītiharayohariścā'sītirākṣasāḥ anyonyaṃsamarejaghnustasmiṃstamasidāruṇe,dāruṇe tasmin tamasi rākṣasaḥasi iti harayaḥ hariśca asi iti rākṣasāḥ samare anyonyam jaghnuḥ
bhinnamaryādanirlajja cāritreṣvanavasthita darpānmṛtyumupādāyaśūro'hamitimanyase,bhinnamaryāda nirlajja cāritre anavasthita darpāt mṛtyum upādāya aham śūraḥ iti manyase
abhyatītya tato'paśyadantaḥpuramudāradhīḥtatastadbharataśśrīmānāviveśānivāritaḥ,udāradhīḥ abhyatītya tataḥ antaḥpuram apaśyat tataḥ śrīmān bharataḥ anivāritaḥ tat āviveśa
niśācarāṇāmadhipo'nujasya vibhīṣaṇasyottamavākyamiṣṭamjagrāha buddhyā suralokaśatru rmahābalo rākṣasarājamukhyaḥ,niśācarāṇām suralokaśatruḥ mahābalaḥ rākṣasarājamukhyaḥ anujasya vibhīṣaṇasya iṣṭam uttamavākyam buddhyā jagrāha
tataḥ kṛtārthāḥ sahitāssabāndhavāḥmayā'rcitāssarvaguṇairmanoramaiḥcariṣyathorvīṃ prati śāntaśatravassahapriyā bhūtadharāḥ plavaṅgamāḥ,bhūtadharāḥ plavaṅgamāḥ tataḥ kṛtārthāḥ sahitāḥ sabāndhavāḥ mayā manoramaiḥ sarvaguṇaiḥ arcitāḥ śāntaśatravaḥ sahapriyāḥ urvīm prati cariṣyatha
vimānairbahubhirlaṅkāsaṅkīrṇābhuvirājate viṣṇoḥpadamivākāśaṃchāditaṃpāṇḍubhirghanaiḥ,bhuvi rājate laṅkā bahubhi vimānaiḥ saṅkīrṇā viṣṇoḥ padam ākāśam pāṇḍubhiḥ ghanaiḥ chāditam iva
āsiñcan salilaiścainaṃpadmotpalasugandhibhiḥ pradahantamānāsādyaṃsahasāgnimivodyatam,sahasā udyatam pradahantam agnimiva anāsādyam enam padmotpalasugandhibhiḥ salilaiḥ asiñcan
kaḥpumāṃstukulejātasstrayaṃparagṛhāṣitām tejasvīpunarādadyātsuhṛllekhyenacetasā,kule jātaḥ tejasvī kaḥpumān paragṛhoṣitām striyam suhṛllekhyena cetasā punaḥ adatyāt
taṃ śoṇitaparītāṅgaṃ veṣṭamānaṃ mahītale bhāryā tu nihataṃ dṛṣṭvā rurāva karuṇāṃ giram viyuktā patinā tena dvijena sahacāriṇā tāmraśīrṣeṇa mattena patriṇā sahitena vai,patinā sahacāriṇā tāmraśīrṣeṇa mattena patriṇā sahitena tena dvijena viyuktā bhāryā tu nihatam mahītale veṣṭamānam śoṇitaparītāṅgam tam dṛṣṭvā karuṇām giram rurāva
evamuktvā mahātejā viśvāmitro mahāmuni:aśaknuvan dhārayituṃ krodhaṃ santāpamāgata:,mahātejā: mahāmuni: viśvāmitra: krodham dhārayitum aśaknuvan evam uktvā santāpam āgata:
